Obersparte	Untersparte	Sparten-Nr.
	über Musicals	1931
	über Oper/Operette	1210
	über Rock/Pop	681
	über deutschen Rock/Pop	894
	über Rolling Stones	889
	über Schlager/Volksmusik	896
	über Tanz/Ballett	3059
	Kirchenmusik	1225
	über Bass	901
	über Blasinstrumente	902
	über Geige	899
	über Gitarre	897
	über Klavier	898
	über Saiteninstrumente	903
	über Schlagzeug/Percussion	900
	über Tasteninstrumente	2600
	Lehrbücher	557
	Liederbücher	1295
	Musikinstrumentenbau	351
	Musikerziehung	350
	Musiktherapie	2643
	Musikwissenschaft	353
	Klavierauszüge	2963
	Noten - Blasinstrumente	2696
	Noten - Faksimiles	2989
	Noten - Gesang	2700
	Noten - Schlaginstrumente	2701
	Noten - Streichinstrumente	2697
	Noten - Tasteninstrumente	2699
	Noten - Zupfinstrumente	2698
	Notensätze (Orchester)	2790
	Noten/Partituren	556
	Autogramme/Kalender (Musik)	895
	Musik-Zeitschriften	779
	Operntexte/Libretti	2956
	Sonstiges - Musik	13
Naturwissenschaft/Mathematik		
	Astronomie	40
	Biologie allgemein	1273
	Botanik	1272
	Genetik	144
	Entomologie	3036
	Evolution	2798
	Mikrobiologie	2800
	Molekularbiologie	2799
	Neurobiologie	1979
	Ökologie/Umweltschutz	816
	Ornithologie	3035
	Zellbiologie	2801
	Zoologie	802
	Sonstiges - Biologie	67
	Biochemie	66
	Chemie allgemein	1274
	Anorganische Chemie	1265
	Organische Chemie	1264
	Physikalische Chemie	1977
	Umweltchemie	1266
	Sonstiges - Chemie	86
	Mathematik allgemein	1275
	Algebra	1259
	Analysis	1258
	Differentialgleichungen	1261
	Experimentelle Mathematik	1255
	Geometrie	1256
	Numerische Mathematik	1260
	Statistik	454
	Stochastik	1257
	Wirtschaftsmathematik	538
	Zahlentheorie	2009
	Sonstiges - Mathematik	311
	Physik allgemein	1276
	Akustik	1268
	Angewandte Physik	1262
	Astrophysik	2914
	Elektrizität/Magnetismus	1271
	Mechanik	1267
	Optik	1269
	Quantenphysik	2920
	Theoretische Physik	1263
	Wärmephysik	1270
	Sonstiges - Physik	381
	Sonstiges - Naturwissenschaften	581
Religion/Philosophie		
	Philosophie allgemein	378
	Anthropologie	1351
	Antike Philosophen	1017
	Ästhetik	1014
	Aufklärung	2416
	Erkenntnistheorie	1012
	Ethik	1010
	Geschichte der Philosophie	1900
	Geschichtsphilosophie	2857
	Idealismus	2417
	Kommunikationswissenschaft	248
	Konfuzianismus	2789
	Logik	1011
	Ontologie	1013
	Philosophie-Zeitschriften	2692
	Politische Philosophie	1015
	Rechtsphilosophie	1016
	Sprachphilosophie	2856
	Sonstiges - Philosophie	577
	Religion allgemein	1289
	Andachtsbücher/Stundenbücher	2688
	Apologetik	2019
	Bibel-Ausgaben	1023
	Bibelauslegungen/Kommentare	1960
	Bibelwissenschaft	1331
	Brauchtum	1296
	Buddhismus	1004
	Caritas/Diakonie	2720
	Christentum	1008
	Daoismus/Taoismus	2788
	Dogmatik	2721
	Gebete/Gesangbücher	1298
	Gemeindearbeit	2718
	Heilige/Hagiographie	2722
	Hinduismus	1005
	Ev. Theologie	1007
	Kath. Theologie	1006
	Islam	229
	Jesus	2785
	Judentum	1009
	Kirchengeschichte	1329
	Kirchen/Klöster	1297
	Kirchenrecht	2919
	Liturgie	2723
	Mission	1353
	Mythologie	1968
	Naturreligionen	2661
	Ökumene	1330
	Orthodoxie	2726
	Ostern	2725
	Praktische Theologie	1978
	Predigten/Homiletik	1959
	Religiöse Jugendbücher	2689
	Religiöse Kinderbücher	1312
	Religiöse Zeitschriften	2021
	Religionskritik	1388
	Religionspädagogik	1873
	Religionswissenschaft	2515
	Religiöse Kunst	1811
	Sakramente	2724
	Seelsorge	1980
	Sekten	1022
	Spiritualität	1964
	Theologen	2719
	Theosophie	3032
	Weihnachten	1939
	Weltreligionen	2662
	Sonstiges - Religion	481
Psychologie/Pädagogik		
	Allgemeine Psychologie	676
	Alkohol-/Drogenmissbrauch	1950
	Arbeits- und Organisationspsychologie	646
	Autismus	1951
	Depression	927
	Diagnostik/Tests	917
	Entwicklung/Persönlichkeit	913
	Ess-Störungen	921
	Familientherapie	2771
	Forensische Psychologie	916
